Campaign,Negative keyword,Match type,Status
US_Search_Repair_Winners_2026-03,battery size,Phrase,Enabled
US_Search_Repair_Winners_2026-03,oil type,Phrase,Enabled
US_Search_Repair_Winners_2026-03,tire size,Phrase,Enabled
US_Search_Repair_Winners_2026-03,wiring diagram,Phrase,Enabled
US_Search_Repair_Winners_2026-03,connector pinout,Phrase,Enabled
US_Search_Tools_Specs_2026-03,repair shop,Phrase,Enabled
US_Search_Tools_Specs_2026-03,mechanic near me,Phrase,Enabled
US_Search_Tools_Specs_2026-03,dealership,Phrase,Enabled
US_Search_Tools_Specs_2026-03,service center,Phrase,Enabled
US_Search_Wiring_Intent_2026-03,house wiring,Phrase,Enabled
US_Search_Wiring_Intent_2026-03,home outlet,Phrase,Enabled
US_Search_Wiring_Intent_2026-03,electrician,Phrase,Enabled
US_Search_Wiring_Intent_2026-03,extension cord,Phrase,Enabled
US_Search_Wiring_Intent_2026-03,phone battery,Phrase,Enabled
US_Search_Wiring_Intent_2026-03,wiring harness for sale,Phrase,Enabled
