Campaign,Ad group,Keyword,Match type,Final URL,Status
US_Search_Repair_Winners_2026-03,2008 Honda Civic Battery Replacement,2008 honda civic battery replacement,Exact,https://spotonauto.com/repair/2008/honda/civic/battery-replacement,Enabled
US_Search_Repair_Winners_2026-03,2008 Honda Civic Battery Replacement,2008 honda civic battery replacement,Phrase,https://spotonauto.com/repair/2008/honda/civic/battery-replacement,Enabled
US_Search_Repair_Winners_2026-03,2008 Honda Civic Battery Replacement,honda civic battery replacement,Exact,https://spotonauto.com/repair/2008/honda/civic/battery-replacement,Enabled
US_Search_Repair_Winners_2026-03,2008 Honda Civic Battery Replacement,honda civic battery replacement,Phrase,https://spotonauto.com/repair/2008/honda/civic/battery-replacement,Enabled
US_Search_Repair_Winners_2026-03,2008 Honda Civic Battery Replacement,2008 civic battery replacement,Exact,https://spotonauto.com/repair/2008/honda/civic/battery-replacement,Enabled
US_Search_Repair_Winners_2026-03,2008 Honda Civic Battery Replacement,2008 civic battery replacement,Phrase,https://spotonauto.com/repair/2008/honda/civic/battery-replacement,Enabled
US_Search_Repair_Winners_2026-03,2015 Jeep Cherokee Headlight Bulb,2015 jeep cherokee headlight bulb replacement,Exact,https://spotonauto.com/repair/2015/jeep/cherokee/headlight-bulb-replacement,Enabled
US_Search_Repair_Winners_2026-03,2015 Jeep Cherokee Headlight Bulb,2015 jeep cherokee headlight bulb replacement,Phrase,https://spotonauto.com/repair/2015/jeep/cherokee/headlight-bulb-replacement,Enabled
US_Search_Repair_Winners_2026-03,2015 Jeep Cherokee Headlight Bulb,jeep cherokee headlight bulb replacement,Exact,https://spotonauto.com/repair/2015/jeep/cherokee/headlight-bulb-replacement,Enabled
US_Search_Repair_Winners_2026-03,2015 Jeep Cherokee Headlight Bulb,jeep cherokee headlight bulb replacement,Phrase,https://spotonauto.com/repair/2015/jeep/cherokee/headlight-bulb-replacement,Enabled
US_Search_Repair_Winners_2026-03,2015 Jeep Cherokee Headlight Bulb,2015 jeep cherokee headlight bulb,Exact,https://spotonauto.com/repair/2015/jeep/cherokee/headlight-bulb-replacement,Enabled
US_Search_Repair_Winners_2026-03,2015 Jeep Cherokee Headlight Bulb,2015 jeep cherokee headlight bulb,Phrase,https://spotonauto.com/repair/2015/jeep/cherokee/headlight-bulb-replacement,Enabled
US_Search_Repair_Winners_2026-03,2014 Nissan Altima Brake Pad Replacement,2014 nissan altima brake pad replacement,Exact,https://spotonauto.com/repair/2014/nissan/altima/brake-pad-replacement,Enabled
