Page,Clicks,Impressions,CTR,Position
"https://spotonauto.com/",19,164,11.59%,9.8
"https://spotonauto.com/repair/1987/toyota/tacoma/battery-replacement",3,8,37.50%,2.9
"https://spotonauto.com/repair/1993/nissan/sentra/headlight-bulb-replacement",3,11,27.27%,4.2
"https://spotonauto.com/repair/1987/chevrolet/suburban/oil-change",2,3,66.67%,5.0
"https://spotonauto.com/repair/1994/toyota/camry/serpentine-belt-replacement",2,3,66.67%,7.3
"https://spotonauto.com/repair/1997/jeep/grand-cherokee/brake-pad-replacement",2,9,22.22%,22.7
"https://spotonauto.com/repair/1997/mercedes/c-class/battery-replacement",2,7,28.57%,5.3
"https://spotonauto.com/repair/1997/mercedes/e-class/starter-replacement",2,2,100.00%,13.0
"https://spotonauto.com/repair/2001/toyota/tacoma/water-pump-replacement",2,22,9.09%,12.9
"https://spotonauto.com/repair/2002/hyundai/santa-fe/spark-plug-replacement",2,19,10.53%,6.4
"https://spotonauto.com/repair/2002/subaru/outback/thermostat-replacement",2,10,20.00%,7.8
"https://spotonauto.com/repair/2002/toyota/rav4/radiator-replacement",2,24,8.33%,7.4
"https://spotonauto.com/repair/2003/hyundai/santa-fe/thermostat-replacement",2,3,66.67%,2.0
"https://spotonauto.com/repair/2003/toyota/rav4/radiator-replacement",2,5,40.00%,4.8
"https://spotonauto.com/repair/2003/toyota/tacoma/thermostat-replacement",2,39,5.13%,5.2
"https://spotonauto.com/repair/2004/chevrolet/malibu/alternator-replacement",2,8,25.00%,5.6
"https://spotonauto.com/repair/2004/jeep/grand-cherokee/brake-rotor-replacement",2,7,28.57%,8.9
"https://spotonauto.com/repair/2004/kia/optima/serpentine-belt-replacement",2,6,33.33%,6.5
"https://spotonauto.com/repair/2005/hyundai/santa-fe/water-pump-replacement",2,22,9.09%,5.9
"https://spotonauto.com/repair/2006/toyota/corolla/spark-plug-replacement",2,43,4.65%,8.8
"https://spotonauto.com/repair/2007/chevrolet/equinox/spark-plug-replacement",2,18,11.11%,8.4
"https://spotonauto.com/repair/2007/honda/odyssey/serpentine-belt-replacement",2,9,22.22%,9.6
"https://spotonauto.com/repair/2009/bmw/x5/serpentine-belt-replacement",2,29,6.90%,20.5
"https://spotonauto.com/repair/2009/ford/fusion/alternator-replacement",2,14,14.29%,8.1
"https://spotonauto.com/repair/2009/kia/sorento/water-pump-replacement",2,9,22.22%,5.2
"https://spotonauto.com/repair/2010/subaru/forester/starter-replacement",2,16,12.50%,5.9
"https://spotonauto.com/repair/2011/toyota/corolla/spark-plug-replacement",2,9,22.22%,12.3
"https://spotonauto.com/repair/2012/bmw/x3/starter-replacement",2,10,20.00%,7.1
"https://spotonauto.com/repair/2012/ford/fusion/brake-pad-replacement",2,18,11.11%,8.3
"https://spotonauto.com/repair/2012/honda/odyssey/spark-plug-replacement",2,74,2.70%,9.1
"https://spotonauto.com/repair/2012/hyundai/elantra/thermostat-replacement",2,30,6.67%,7.9
"https://spotonauto.com/repair/2012/kia/soul/alternator-replacement",2,73,2.74%,10.2
"https://spotonauto.com/repair/2012/kia/sportage/serpentine-belt-replacement",2,16,12.50%,7.9
"https://spotonauto.com/repair/2013/ford/edge/water-pump-replacement",2,23,8.70%,7.0
"https://spotonauto.com/repair/2013/mercedes/c-class/water-pump-replacement",2,11,18.18%,5.5
"https://spotonauto.com/repair/2013/nissan/pathfinder/water-pump-replacement",2,6,33.33%,3.3
"https://spotonauto.com/repair/2013/subaru/outback/thermostat-replacement",2,22,9.09%,7.8
"https://spotonauto.com/repair/1982/honda/civic/thermostat-replacement",1,1,100.00%,2.0
"https://spotonauto.com/repair/1982/toyota/tacoma/radiator-replacement",1,3,33.33%,4.3
"https://spotonauto.com/repair/1983/ford/f-150/oil-change",1,8,12.50%,5.0
"https://spotonauto.com/repair/1983/ford/f-150/thermostat-replacement",1,6,16.67%,4.3
"https://spotonauto.com/repair/1983/ford/f-150/water-pump-replacement",1,6,16.67%,5.7
"https://spotonauto.com/repair/1984/chevrolet/impala/alternator-replacement",1,6,16.67%,7.0
"https://spotonauto.com/repair/1984/honda/civic/radiator-replacement",1,1,100.00%,2.0
"https://spotonauto.com/repair/1985/chevrolet/silverado/serpentine-belt-replacement",1,5,20.00%,6.4
"https://spotonauto.com/repair/1985/ford/f-150/radiator-replacement",1,6,16.67%,9.0
"https://spotonauto.com/repair/1985/jeep/cherokee/water-pump-replacement",1,1,100.00%,3.0
"https://spotonauto.com/repair/1985/subaru/forester/brake-pad-replacement",1,3,33.33%,12.7
"https://spotonauto.com/repair/1985/toyota/camry/engine-air-filter-replacement",1,1,100.00%,3.0
"https://spotonauto.com/repair/1986/bmw/5-series/serpentine-belt-replacement",1,1,100.00%,4.0
"https://spotonauto.com/repair/1986/chevrolet/silverado/battery-replacement",1,2,50.00%,5.0
"https://spotonauto.com/repair/1986/ford/f-150/brake-rotor-replacement",1,2,50.00%,8.5
"https://spotonauto.com/repair/1986/ford/f-150/water-pump-replacement",1,13,7.69%,8.6
"https://spotonauto.com/repair/1986/ford/mustang/brake-pad-replacement",1,3,33.33%,2.7
"https://spotonauto.com/repair/1986/nissan/pathfinder/starter-replacement",1,1,100.00%,16.0
"https://spotonauto.com/repair/1987/chevrolet/silverado/cabin-air-filter-replacement",1,7,14.29%,3.6
"https://spotonauto.com/repair/1987/ford/f-150/spark-plug-replacement",1,1,100.00%,6.0
"https://spotonauto.com/repair/1988/toyota/camry/headlight-bulb-replacement",1,4,25.00%,8.3
"https://spotonauto.com/repair/1988/toyota/corolla/oil-change",1,5,20.00%,6.0
"https://spotonauto.com/repair/1989/chevrolet/suburban/oil-change",1,5,20.00%,4.0
"https://spotonauto.com/repair/1989/chevrolet/suburban/serpentine-belt-replacement",1,4,25.00%,4.0
"https://spotonauto.com/repair/1989/ford/f-150/alternator-replacement",1,30,3.33%,6.0
"https://spotonauto.com/repair/1989/ford/f-150/cabin-air-filter-replacement",1,13,7.69%,5.8
"https://spotonauto.com/repair/1989/ford/f-150/oil-change",1,45,2.22%,5.3
"https://spotonauto.com/repair/1989/ford/mustang/thermostat-replacement",1,13,7.69%,7.1
"https://spotonauto.com/repair/1989/honda/accord/brake-pad-replacement",1,5,20.00%,6.0
"https://spotonauto.com/repair/1989/honda/pilot/cabin-air-filter-replacement",1,1,100.00%,4.0
"https://spotonauto.com/repair/1989/jeep/wrangler/alternator-replacement",1,4,25.00%,3.3
"https://spotonauto.com/repair/1989/toyota/corolla/starter-replacement",1,1,100.00%,6.0
"https://spotonauto.com/repair/1989/toyota/corolla/thermostat-replacement",1,6,16.67%,4.8
"https://spotonauto.com/repair/1990/chevrolet/silverado/headlight-bulb-replacement",1,1,100.00%,16.0
"https://spotonauto.com/repair/1990/ford/f-150/starter-replacement",1,25,4.00%,5.8
"https://spotonauto.com/repair/1990/ford/f-150/thermostat-replacement",1,38,2.63%,7.5
"https://spotonauto.com/repair/1990/ford/f-150/water-pump-replacement",1,9,11.11%,6.8
"https://spotonauto.com/repair/1990/honda/civic/battery-replacement",1,5,20.00%,9.0
"https://spotonauto.com/repair/1990/nissan/pathfinder/serpentine-belt-replacement",1,5,20.00%,3.8
"https://spotonauto.com/repair/1990/nissan/versa/headlight-bulb-replacement",1,2,50.00%,24.0
"https://spotonauto.com/repair/1990/toyota/corolla/starter-replacement",1,14,7.14%,7.4
"https://spotonauto.com/repair/1991/chevrolet/silverado/serpentine-belt-replacement",1,23,4.35%,7.0
"https://spotonauto.com/repair/1991/ford/escape/thermostat-replacement",1,1,100.00%,7.0
